No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
1;Kapan Indonesia Merdeka;17 Agustus 1945;17 Agustus 1945,17 Agustus 2605,17 Agustus 1945,14 September 2011,17 Agustus 1945,17 Agustus 1945,27 Desember 1949,18 Juni 1946,23 Januari 1942,6 Agustus 1945,9 Agustus 1945,10 Agustus 1945,12 Agustus 1945,24 Agustus 1945,14 Agustus 1945,16 Agustus 1945,16 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,18 Agustus 1945,29 Mei 1992,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,20 Agustus 1945,20 Agustus 1945,18 August 2005,7 June 2011,23 November 2008,14 September 2011,8 September 2013,15 September 2013,7 Desember 2011,16 Agustus 2017,17 Agustus 2019,26 Mei 2013,16 Agustus 2015,13 Januari 2019,17 Agustus 2019,21 Mei 2008,7 Juni 2008,21 May 2008,27 September 2011,7 June 2008,26 Juli 2017,17 Agustus 2019,16 Agustus 2001,16 Agustus 2014,17 Agustus 2015,17 Agustus 2019,16 Agustus 2014,10 November 1945,1 Maret 1949,5 Juli 1959,11 Maret 1966,16 Juni 2022,17 Agst 2017,17 Agustus 1945,17 Agustus 2605,6 Agustus 1945,9 Agustus 1945,17 Agustus 1945,10 Agustus 1945,12 Agustus 1945,17 Agustus 1945,14 Agustus 1945,29 Mei 1945,9 Agustus 1945,12 Jul 2017,19 Jul 2017,12 Jul 2017,19 Jul 2017,01 Agst 2017,17 Agst 2017,17 Agst 2017,27 Jan 2021,28 Feb 2018,17 Jun 2020,10 Jun 2020,16 Jun 2021,09 Jun 2021,02 Jun 2021,17 Mei 2021,21 April 2021,24 Agustus 2020,17 Agustus 2020,23 Agustus 2020,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1950,17 Agustus 1945,6 Agustus 1945,9 Agustus 1945,14 Agustus 1945,12 Agustus 1945,16 Agustus 1945,16 Agustus 1945,16 Agustus 1945,17 Agustus 1945,20 Agustus 1945,18 Agustus 1945,29 Mei 1992,17 Agustus 1945,20 Mei 1908,17 Agustus 1945,17 Agustus 1945,1 Maret 1949,17 Agustus 1945,17 Agustus 1945,16 Agustus 2021,17 Agustus 1745,17 Agustus 1945,27 Agustus 1949,17 Agustus 1945,17 Agustus 1945,16 Agustus 2005,18 Februari 1845,17 Juni 1907,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 2021,17 Agustus 1945,6 Agustus 1945,9 Agustus 1945,16 Agustus 1945,17 Agutus 1945,16 Agustus 1975,22 Juni 1945,17 Agustus 1945,16 Agustus 2021,06 Agustus 2018,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,29 April 2020,15 April 2019,27 November 2020,01 Agustus 2019,24 September 2020,09 April 2020,24 Mei 2019,17 Agustus 1945,17 Agustus 1945,17 Agustus 2021,15 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,17 Agustus 1945,16 Agustus 1945,17 Agustus 1945,17 Agustus 1945,7 Juli 2022,6 Agustus 1945,9 Agustus 1945,24 Agustus 1945,24 Agustus 1945,15 Agustus 1945,17 Agustus 1945;17 Agustus 1945;1;0;0;0
2;Kapan terjadinya bandung lautan api?;23 Maret 1946;23 Maret 1946,23 Juni 2022,23 Maret 1946,23 Maret 1946,12 Oktober 1945,21 November 1945,23 Maret 1946,23 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,22 Juni 2022,31 Mei 1293,02 Sep 2021,23 Maret 1946,12 Oktober 1945,24 November 1945,29 November 1945,23 Maret 1946,24 Maret 1946,24 Maret 1946,24 Maret 1946,23 Maret 1946,23 Maret 1946,23 Maret 1946,12 Oktober 1945,21 November 1945,23 Maret 1946,1 Mei 1997,26 Maret 1946,14 Februari 2014,26 Maret 2021,22 Maret 2021,26 Maret 2021,18 Juni 2022,23 Juni 2022,23 Maret 1946,2 Februari 2022,23 Maret 1946,16 Agustus 1945,12 Oktober 1945,24 November 1945,29 November 1945,23 Maret 1946,24 Maret 1946,23 Maret 1946,24 Juni 2022,23 Mar 2022,22 Feb 2021,23 Maret 1946,23 Maret 1946,12 Oktober 1945,24 November 1945,27 November 1945,29 November 1945,17 Maret 1946,24 Maret 1946,24 Maret 1945,24 Maret 1946,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022,23 Juni 2022,23 Maret 2022,12 Oktober 1945,24 November 1945,29 November 1945,23 Maret 1946,24 Maret 1946,23 Maret 1946,24 Maret 1946;23 Maret 1946;1;0;0;0
3;Kapan organisasi Tiong Hoa Hwee Kwan resmi didirikan?;17 Maret 1900;17 Maret 1900,17 Maret 1900,28 Mei 2021,16 Agustus 2019,17 Maret 1900,7 Juli 2022,13 June 2021,27 Maret 1900,28 Juni 1967,28 Juni 1967,31 Oktober 1967,17 Maret 1900,1 September 1901,17 Maret 1900,1 September 1901,17 Mar 2012,17 Mar 2012,17 Mar 2012,17 Mar 2012,18 Mar 2012,13 Jul 2021,26 Maret 1958,8 Februari 2005,11 Maret 1966,30 November 1975,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022;17 Maret 1900;1;0;0;0
4;Kapan kemerdekaan Kuba?;20 Mei 1902;10 Oktober 1868,20 Mei 1902,1 Januari 1959,28 Oktober 1492,1 Januari 1959,26 March 2013,24 October 2006,18 August 2012,1 Januari 2020,26 Juli 1953,2 Desember 1956,30 Juli 1957,5 Agustus 1957,1 Januari 1959,26 Juli 1959,28 Mei 2021,12 Mei 2020,10 Mei 2015,8 Maret 2014,9 Juni 2022,3 Juni 2022,3 Juni 2022,23 Mei 2022,12 Mei 2022,12 Mei 2022,23 June 2022,23 June 2022,16 Jun 2015,4 Nov 2008,23 Jun 2022,23 Jun 2022,23 June 2022,24 Feb 2022,24 Februari 1826,24 Februari 1920,24 Februari 1955,24 Februari 2013,24 Februari 2016;01 Januari 1959;0;0;1;0
5;Kapan kemerdekaan Panama?;03-Nov-03;28 November 1821,3 November 1903,31 Desember 1999,2 Mei 2004,1 September 2004,03 Nov 2018,03 Nov 2018,3 November 1903,28 November 1821,23 Juni 2013,21 Juni 1945,20 Juni 1837,3 November 1903,15 Agustus 1914,21 Juni 1945,23 Jun 2022,23 June 2022,03 November 2017,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,10 Juni 2022,31 Mei 2022,31 Mei 2022,19 Mei 2022,27 April 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,28 November 1821,3 November 1903,31 Desember 1999,2 Mei 2004,1 September 2004,17 Agustus 2019,15 Agustus 2021,15 Agustus 1914,15 Agustus 1947,4 Mei 1904,15 Agustus 1914,15 Agustus 1914,15 Agustus 1947,4 Juli 1947,23 Juni 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,20 Juni 2022,19 Juni 2022,19 Juni 2022,18 Juni 2022,5 ATI 2021,29 Mei 2017,29 Mei 2022,25 September 1513,17 Oktober 1903,18 Oktober 1903,6 November 1903,4 Mei 1904,29 Mei 2017,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Juni 2022,22 Jun 2022,15 Agustus 1914,31 Desember 1999,1 Juli 2014,1 Juli 2014,1 Juli 2014,3 November 1903,28 November 1821,3 November 1903,9 November 1953;03-Nov-03;1;0;0;0
6;Kapan Jepang melancarkan serangan kejutan torpedo ke angkatan laut Rusia di Port Arthur?;08 Februari 1904;10 Februari 1904,5 September 1905,10 Februari 1904,5 September 1905,17 April 1895,23 April 1895,31 Desember 1903,10 Februari 1904,5 September 1905,17 April 1895,23 April 1895,31 Desember 1903,10 Februari 1904,5 September 1905,8 Februari 1904,8 Februari 1904,20 Februari 1905,10 Maret 1905,28 Mei 1905,5 September 1905,5 September 1905,8 Februari 1904,9 Februari 1904,8 Februari 1904,5 September 1905,9 Februari 1904,31 Januari 1918,31 Januari 1918,1 September 1939,2 September 1945,3 Oktober 1935,23 September 1939,1 Juli 1943,4 Juli 1943,12 Juli 1943,6 Juni 1944,6 Juni 1944,16 Desember 1944,30 April 1945,7 Juni 1945,15 Agustus 1945,2 September 1945,3 Juli 1945,9 Agustus 1945,24 Oktober 1945,5 Juni 1945,19 Februari 1942,23 Agustus 1939,16 September 1939,17 September 1939,30 September 1939,4 Juli 1940,22 Juni 1941,15 May 2012,29 January 2012,22 June 2012,22 June 2012,14 November 2009,27 April 2006,1 October 2005,9 May 2008,15 February 2010,1 June 1998,12 November 2009,6 March 2008,17 February 2010,14 November 2009,20 October 1999,13 April 2008,2 March 2008,25 January 2010,25 January 2010,14 November 2009,20 April 2007,20 April 2007,20 April 2007,2 February 2008,25 January 2010,25 January 2010,27 July 2004,25 January 2010,25 January 2010,21 August 2008,25 January 2010,22 October 2003,21 January 2010,27 October 2005,19 January 2010,19 January 2010,16 October 2003,19 January 2010,19 January 2010,19 January 2010,19 January 2010,18 January 2010,18 February 2010,9 February 2007,21 February 2012,24 January 1947,22 January 2010,14 November 2009,14 November 2009,9 May 2008,15 November 2009,10 December 2010,15 November 2009,14 November 2009,17 June 2011,15 November 2009,2 Januari 1905,2 Januari 1905,2 Januari 2021,2 Januari 1905,2 Januari 1905,14 Februari 1945,8 Februari 1904,2 Januari 1905,2 Januari 1905,7 Juli 2022,23 Juni 1972;05-Sep-05;0;0;1;0
7;Kapan Insiden Minggu Berdarah terjadi di Saint Petersburg, Rusia?;22 Januari 1905;22 Januari 2022,22 Januari 1905,7 Juli 2022,9 Januari 1905,22 Januari 1905,9 Maret 2022,22 Januari 1905,22 Januari 1905,23 June 2022,23 June 2022,22 Jan 2018,2 Januari 1905,22 Januari 1905,23 Jun 2022,23 Jun 2022,22 Januari 1905,6 Juni 1872,15 Maret 1917,17 Juli 1918,17 Juli 1998,26 Mei 1894,15 Maret 1917,26 November 1894;22 Januari 1905;1;0;0;0
8;Kapan kemerdekaan Norwegia?;07 Juni 1905;23 Jun 2022,19 May 2019,17 Mei 1814,17 June 2022,10 May 2022,10 May 2022,09 May 2022,09 May 2022,09 May 2022,02 May 2022,01 May 2022,30 April 2022,28 April 2022,24 April 2022,17 Mei 1814,4 November 1814,7 Juni 1905,12 September 2005,7 March 2019,10 December 2019,22 March 2017,10 December 2019,25 Mei 2022,17 Mei 1814,7 Juni 1905,17 Januari 1991,16 Oktober 2013,7 Juni 1905,17 Mei 1814,17 Mei 1814,7 Juni 1905,26 Oktober 1905,12 September 2005,17 Mei 1814,7 Juni 1905,26 Oktober 1905,12 September 2005,7 Juni 1905,26 Oktober 1905,18 November 1905,23 Jun 2022,23 June 2022,27 Oktober 2016,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,10 Juni 2022,31 Mei 2022,31 Mei 2022,19 Mei 2022,27 April 2022,22 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,18 Juni 2022,21 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022,23 Juni 2022;17 Mei 1814;0;1;0;0
9;Kapan Pemberontakan terjadi di kapal perang Potyomkin?;14 Juni 1905;28 November 2010,2 Agustus 2009,21 Desember 1925,28 November 2010,2 Agustus 2009,6 Februari 2022,19 Juni 1905,9 Januari 1905,1 Juli 1905,3 Juli 1905,13 Juli 1905,6 September 1905,17 Februari 1906,21 Oktober 1905,17 Oktober 1905,9 Maret 1910,27 Juni 1905,2 November 2010,19 Januari 2011,3 Januari 2012,11 Februari 2012,23 Juni 2022,21 Agustus 2019,21 Agustus 2019,31 Januari 1933,10 Febuari 1933,19 September 1933,10 Februari 1933,17 Agustus 1974,10 Februari 1933;28-Nov-10;0;1;0;0
10;Kapan Traktat Portsmouth ditandatangani?;05-Sep-05;24 Juni 2014,22 Juni 2019,31 Januari 1918,31 Januari 1918,30 Desember 1884,30 Juli 1940,17 Oktober 1941,7 Desember 1941,7 Juni 1941,22 Juli 1944,15 Agustus 1945,2 September 1945,11 September 1945,12 November 1948,23 Desember 1948;31 Januari 1918;0;1;0;0
